Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,12661780,12692180,12622890,12640310,12640310,229856
2017-12-07,12640320,12640810,12439010,12470310,12470310,235229
2017-12-08,12470310,12523120,12436390,12483710,12483710,199961
2017-12-10,12471210,12491490,12471210,12484920,12484920,4147
2017-12-11,12485020,12515180,12406720,12427980,12427980,191147
2017-12-12,12427980,12461790,12364610,12433590,12433590,186632
2017-12-13,12433510,12570680,12402480,12539690,12539690,221519
2017-12-14,12539790,12590220,12504610,12534920,12534920,220522
2017-12-15,12534920,12618090,12530580,12549720,12549720,208527
2017-12-17,12547710,12547710,12536080,12538690,12538690,4839
2017-12-18,12538580,12639220,12527420,12614180,12614180,195615
2017-12-19,12614280,12652120,12592110,12616990,12616990,190474
2017-12-20,12616820,12678390,12613410,12663910,12663910,183392
2017-12-21,12663920,12689590,12627490,12669210,12669210,168928
2017-12-22,12669580,12761210,12649410,12747520,12747520,165275
2017-12-25,12742710,12749710,12732480,12735720,12735720,2949
2017-12-26,12734710,12837980,12733710,12820610,12820610,103431
2017-12-27,12820580,12889790,12813110,12876120,12876120,170816
2017-12-28,12876120,12951710,12871090,12940720,12940720,178512
2017-12-29,12940610,13075520,12939410,13026220,13026220,174797
2018-01-01,13029220,13076020,13022310,13067110,13067110,4411
2018-01-02,13067110,13214010,13041710,13202110,13202110,202697
2018-01-03,13202510,13212810,13074280,13111120,13111120,201789
2018-01-04,13110910,13259690,13058690,13208920,13208920,213151
2018-01-05,13209210,13233620,13136390,13192210,13192210,193622
2018-01-07,13204220,13213720,13191610,13195310,13195310,3379
2018-01-08,13195120,13221010,13147810,13179810,13179810,165514
2018-01-09,13180010,13201420,13088220,13103320,13103320,202528
2018-01-10,13103390,13276910,13081680,13177220,13177220,229348
2018-01-11,13177210,13239020,13156780,13227480,13227480,199425
2018-01-12,13227410,13393010,13227410,13375320,13375320,211596
2018-01-14,13366210,13380520,13358420,13369120,13369120,4417
2018-01-15,13369380,13446720,13364980,13414990,13414990,140492
2018-01-16,13414990,13419410,13318410,13407120,13407120,213907
2018-01-17,13407110,13439310,13259110,13285010,13285010,229620
2018-01-18,13285010,13330890,13242510,13279190,13279190,222777
2018-01-19,13279280,13380390,13267410,13316010,13316010,204784
2018-01-21,13340410,13356270,13318290,13347610,13347610,5217
2018-01-22,13347620,13355480,13284090,13331410,13331410,188471
2018-01-23,13331510,13422410,13313420,13418180,13418180,211599
2018-01-24,13418480,13619910,13394510,13561120,13561120,231240
2018-01-25,13561110,13660020,13424080,13467110,13467110,260744
2018-01-26,13467290,13571110,13458410,13491980,13491980,227892
2018-01-28,13496390,13511390,13489110,13511310,13511310,5188
2018-01-29,13511510,13523580,13376010,13412180,13412180,202317
2018-01-30,13412180,13488820,13344210,13384910,13384910,238952
2018-01-31,13384910,13475220,13326390,13452220,13452220,225788
2018-02-01,13452180,13510090,13372110,13485990,13485990,215998
2018-02-02,13485520,13500490,13274010,13325980,13325980,230188
2018-02-04,13320210,13338420,13294510,13325510,13325510,7309
2018-02-05,13325510,13415910,13289710,13404480,13404480,253500
2018-02-06,13403980,13460620,13201780,13253490,13253490,342039
2018-02-07,13252690,13322790,13113680,13190410,13190410,278944
2018-02-08,13190420,13226710,13070180,13220220,13220220,288860
2018-02-09,13219920,13219920,13111380,13156880,13156880,294290
2018-02-11,13152720,13168680,13141290,13162710,13162710,4388
2018-02-12,13162710,13266310,13159710,13224980,13224980,214360
2018-02-13,13224880,13329720,13215580,13317710,13317710,228065
2018-02-14,13318720,13555400,13180000,13537680,13537680,283322
2018-02-15,13537580,13570790,13485480,13539090,13539090,236763
2018-02-16,13538980,13616820,13447490,13468780,13468780,230063
2018-02-18,13474620,13498420,13473120,13480180,13480180,5358
2018-02-19,13480210,13513510,13438990,13453090,13453090,138399
2018-02-20,13452990,13465290,13284510,13298920,13298920,235801
2018-02-21,13298920,13362080,13223410,13267610,13267610,234932
2018-02-22,13267610,13321110,13208980,13304910,13304910,235588
2018-02-23,13304710,13316090,13257680,13284780,13284780,188084
2018-02-25,13281620,13299490,13266310,13270320,13270320,6204
2018-02-26,13270310,13410420,13269980,13321710,13321710,205825
2018-02-27,13321710,13366990,13133890,13174820,13174820,237173
2018-02-28,13174390,13225220,13155810,13173490,13173490,229241
2018-03-01,13173410,13211180,13027580,13169880,13169880,291628
2018-03-02,13169880,13254110,13151780,13223580,13223580,250776
2018-03-04,13236720,13241980,13199280,13230720,13230720,6536
2018-03-05,13230720,13277520,13175080,13209010,13209010,271467
